path,kind,extension,codec,bytes,megabytes,width,height,longSide,duration,bitRateKbps,pixFmt,variant,workUsage,recommendation
spectathesis/asset/thesis17.jpg,image,jpg,mjpeg,1916681,1.917,2100,1400,2100,0.04,383336,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis18.jpg,image,jpg,mjpeg,1962465,1.962,2100,1400,2100,0.04,392493,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis19.jpg,image,jpg,mjpeg,1998642,1.999,2100,1400,2100,0.04,399728,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis2.jpg,image,jpg,mjpeg,1875760,1.876,2100,1400,2100,0.04,375152,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis20.jpg,image,jpg,mjpeg,1847563,1.848,2100,1400,2100,0.04,369513,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis21.jpg,image,jpg,mjpeg,2140645,2.141,2100,1400,2100,0.04,428129,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis3.jpg,image,jpg,mjpeg,1635135,1.635,2100,1400,2100,0.04,327027,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis4.jpg,image,jpg,mjpeg,1819328,1.819,2100,1400,2100,0.04,363866,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis5.jpg,image,jpg,mjpeg,1760933,1.761,2100,1400,2100,0.04,352187,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis6.jpg,image,jpg,mjpeg,1779110,1.779,2100,1400,2100,0.04,355822,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis7.jpg,image,jpg,mjpeg,1889209,1.889,2100,1400,2100,0.04,377842,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis8.jpg,image,jpg,mjpeg,1885737,1.886,2100,1400,2100,0.04,377147,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis9.jpg,image,jpg,mjpeg,1849705,1.850,2100,1400,2100,0.04,369941,yuvj444p,desktop/source,,convert-webp
totem/asset/casa.jpg,image,jpg,mjpeg,896768,0.897,1700,2299,2299,0.04,179354,yuvj444p,desktop/source,,convert-webp
totem/asset/europa.jpg,image,jpg,mjpeg,1308384,1.308,1700,2299,2299,0.04,261677,yuvj444p,desktop/source,,convert-webp
totem/asset/min.jpg,image,jpg,mjpeg,117349,0.117,1500,999,1500,0.04,23470,yuvj444p,desktop/source,,convert-webp
totem/asset/min1.jpg,image,jpg,mjpeg,303591,0.304,1080,1440,1440,0.04,60718,yuvj444p,desktop/source,,convert-webp
totem/asset/min2.jpg,image,jpg,mjpeg,307098,0.307,1080,1440,1440,0.04,61420,yuvj444p,desktop/source,,convert-webp
totem/asset/min3.jpg,image,jpg,mjpeg,203468,0.203,1080,1440,1440,0.04,40694,yuvj444p,desktop/source,,convert-webp
totem/asset/optimized/casa-mobile.webp,image,webp,webp,39266,0.039,800,1080,1080,,,yuv420p,mobile,totem:gallery-2:mobile,ok
totem/asset/optimized/casa.webp,image,webp,webp,103216,0.103,1258,1700,1700,,,yuv420p,desktop/source,totem:gallery-2:desktop,ok
totem/asset/optimized/europa-mobile.webp,image,webp,webp,50986,0.051,800,1080,1080,,,yuv420p,mobile,totem:gallery-4:mobile,ok
totem/asset/optimized/europa.webp,image,webp,webp,166690,0.167,1258,1700,1700,,,yuv420p,desktop/source,totem:gallery-4:desktop,ok
totem/asset/optimized/roma-mobile.webp,image,webp,webp,52938,0.053,800,1080,1080,,,yuv420p,mobile,totem:gallery-3:mobile,ok
totem/asset/optimized/roma.webp,image,webp,webp,163322,0.163,1258,1700,1700,,,yuv420p,desktop/source,totem:gallery-3:desktop,ok
totem/asset/optimized/totem-mobile.webp,image,webp,webp,15788,0.016,1080,721,1080,,,yuv420p,mobile,totem:cover+first:mobile,ok
